scanned_at,product_id,name,site,url,price,currency,in_stock,status,method,note
2026-09-22T14:36:29+00:00,iphone-15-128-gb-siyah,iPhone 15 128 GB Siyah,trendyol.com,https://www.trendyol.com/apple/iphone-15-128-gb-siyah-p-762254878,56999.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:36:32+00:00,logitech-mx-master-4,Logitech MX Master 4,hepsiburada.com,https://www.hepsiburada.com/logitech-mx-master-4-dokunsal-geri-bildirim-ozellikli-8000-dpi-optik-sensorlu-sessiz-kablosuz-bluetooth-mouse-koyu-gri-pm-HBC0000C4QAAX,6417.35,TRY,1,ok,http/jsonld,edge101
2026-09-22T14:36:33+00:00,philips-tah1205bk-kulaklik,Philips TAH1205BK Kulaklik,n11.com,https://www.n11.com/urun/philips-tah1205bk00-bluetooth-kulak-ustu-kulaklik-67019198,1168.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:36:44+00:00,amazon-magsafe-kilif,Amazon MagSafe Kilif,amazon.com.tr,https://www.amazon.com.tr/dp/B0CHX3QBCH,,TRY,,blocked,http,sayfa cok kucuk (4153 bayt) - muhtemelen engel sayfasi
2026-09-22T14:36:56+00:00,iphone-15-128-gb-siyah,iPhone 15 128 GB Siyah,trendyol.com,https://www.trendyol.com/apple/iphone-15-128-gb-siyah-p-762254878,56999.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:36:57+00:00,logitech-mx-master-4,Logitech MX Master 4,hepsiburada.com,https://www.hepsiburada.com/logitech-mx-master-4-dokunsal-geri-bildirim-ozellikli-8000-dpi-optik-sensorlu-sessiz-kablosuz-bluetooth-mouse-koyu-gri-pm-HBC0000C4QAAX,6417.35,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:36:59+00:00,philips-tah1205bk-kulaklik,Philips TAH1205BK Kulaklik,n11.com,https://www.n11.com/urun/philips-tah1205bk00-bluetooth-kulak-ustu-kulaklik-67019198,1168.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:37:10+00:00,amazon-magsafe-kilif,Amazon MagSafe Kilif,amazon.com.tr,https://www.amazon.com.tr/dp/B0CHX3QBCH,,TRY,,blocked,http,sayfa cok kucuk (4153 bayt) - muhtemelen engel sayfasi
2026-09-22T14:43:18+00:00,iphone-15-128-gb-siyah,iPhone 15 128 GB Siyah,trendyol.com,https://www.trendyol.com/apple/iphone-15-128-gb-siyah-p-762254878,56999.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:43:19+00:00,logitech-mx-master-4,Logitech MX Master 4,hepsiburada.com,https://www.hepsiburada.com/logitech-mx-master-4-dokunsal-geri-bildirim-ozellikli-8000-dpi-optik-sensorlu-sessiz-kablosuz-bluetooth-mouse-koyu-gri-pm-HBC0000C4QAAX,6417.35,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:43:21+00:00,philips-tah1205bk-kulaklik,Philips TAH1205BK Kulaklik,n11.com,https://www.n11.com/urun/philips-tah1205bk00-bluetooth-kulak-ustu-kulaklik-67019198,1168.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:43:22+00:00,amazon-magsafe-kilif,Amazon MagSafe Kilif,amazon.com.tr,https://www.amazon.com.tr/dp/B0CHX3QBCH,,TRY,,error,browser,"Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.amazon.com.tr/dp/B0CHX3QBCH
Call log:
  - navigating to ""https://www.amazon.com.tr/dp/B0CHX3QBCH"", waiting until ""domcontentloaded""
"
2026-09-22T14:44:33+00:00,iphone-15-128-gb-siyah,iPhone 15 128 GB Siyah,trendyol.com,https://www.trendyol.com/apple/iphone-15-128-gb-siyah-p-762254878,56999.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:44:34+00:00,logitech-mx-master-4,Logitech MX Master 4,hepsiburada.com,https://www.hepsiburada.com/logitech-mx-master-4-dokunsal-geri-bildirim-ozellikli-8000-dpi-optik-sensorlu-sessiz-kablosuz-bluetooth-mouse-koyu-gri-pm-HBC0000C4QAAX,6417.35,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:44:35+00:00,philips-tah1205bk-kulaklik,Philips TAH1205BK Kulaklik,n11.com,https://www.n11.com/urun/philips-tah1205bk00-bluetooth-kulak-ustu-kulaklik-67019198,1168.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T14:44:47+00:00,amazon-magsafe-kilif,Amazon MagSafe Kilif,amazon.com.tr,https://www.amazon.com.tr/dp/B0CHX3QBCH,,TRY,,error,browser,"Error: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://www.amazon.com.tr/dp/B0CHX3QBCH
Call log:
  - navigating to ""https://www.amazon.com.tr/dp/B0CHX3QBCH"", waiting until ""domcontentloaded""
"
2026-09-22T15:02:40+00:00,iphone-15-128-gb-siyah,iPhone 15 128 GB Siyah,trendyol.com,https://www.trendyol.com/apple/iphone-15-128-gb-siyah-p-762254878,56999.00,TRY,1,ok,http/jsonld,chrome116
